 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
102,Switch_S6TPE_1_20x_Med_R_VTA red: region 035; 01-09; 700-10000,952,111.253,21.827,80,76,174,1306.795,735.85,1307.357,735.994,174.894,1288,711,37,47,44.071,27.504,57.244,0.391,53.075,105913,111,0.256,-0.825,97.242,105913,1289,758,47.291,33.506,1.602,0.624,0.771,76,255
103,Switch_S6TPE_1_20x_Med_R_VTA red: region 036; 01-09; 700-10000,670,100.878,18.472,81,76,153,418.218,739.34,418.906,738.955,201.321,394,719,45,42,40.307,21.164,53.488,0.208,50.537,67588,97,0.591,-0.703,94.901,67588,394,754,27.072,30.129,1.904,0.525,0.598,76,255
104,Switch_S6TPE_1_20x_Med_R_VTA red: region 037; 01-09; 700-10000,1006,100.56,18.522,81,76,164,195.264,742.759,194.78,742.827,248.049,174,723,48,39,39.844,32.147,29.35,0.205,49.578,101163,97,0.717,-0.272,93.843,101163,181,725,138.27,37.807,1.239,0.807,0.696,76,255
105,Switch_S6TPE_1_20x_Med_R_VTA red: region 038; 01-09; 700-10000,1296,125.235,39.968,81,76,219,96.475,857.25,99.147,860.783,253.505,67,823,56,64,76.855,21.471,128.261,0.253,82.329,162304,112,0.621,-0.948,96.644,162304,68,824,130.073,26.085,3.58,0.279,0.745,76,255
106,Switch_S6TPE_1_20x_Med_R_VTA red: region 039; 01-09; 700-10000,733,152.683,42.686,138,76,234,690.314,860.46,689.043,860.458,126.711,668,847,48,26,50.187,18.596,160.744,0.574,51.264,111917,148,0.155,-0.998,99.728,111917,668,850,159.444,21.377,2.699,0.371,0.868,76,255
107,Switch_S6TPE_1_20x_Med_R_VTA red: region 040; 01-09; 700-10000,1343,109.975,27.166,82,76,217,242.436,905.442,243.707,906.496,266.434,214,872,52,61,57.165,29.913,124.151,0.238,64.257,147696,103,1.069,0.675,98.75,147696,241,872,110.973,42.018,1.911,0.523,0.704,76,255
108,Switch_S6TPE_1_20x_Med_R_VTA red: region 041; 01-09; 700-10000,722,125.141,36.446,86,76,221,862.889,912.747,863.669,911.794,138.024,840,900,50,28,42.97,21.393,19.466,0.476,54.626,90352,117,0.497,-0.891,97.305,90352,840,928,23.749,23.454,2.009,0.498,0.828,76,255
109,Switch_S6TPE_1_20x_Med_R_VTA red: region 042; 01-09; 700-10000,751,108.774,22.085,76,76,170,164.709,959.3,164.063,958.791,158.551,144,939,43,39,47.559,20.105,138.055,0.375,55.227,81689,106,0.373,-0.79,93.524,81689,145,939,137.936,23.947,2.365,0.423,0.766,76,255
110,Switch_S6TPE_1_20x_Med_R_VTA red: region 043; 01-09; 700-10000,2023,126.705,39.994,77,76,228,521.226,989.789,523.124,990.425,407.144,473,968,103,38,92.956,27.71,175.832,0.153,105.119,256325,117,0.669,-0.646,97.213,256325,473,971,168.476,38,3.355,0.298,0.615,76,255
111,Switch_S6TPE_1_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,915,127.858,31.563,103,79,232,596.026,201.205,596.611,200.257,128.853,574,187,45,31,41.483,28.084,21.971,0.693,47.127,116990,122,0.853,0.364,99.782,116990,574,204,17.281,31,1.477,0.677,0.913,79,255
112,Switch_S6TPE_1_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,2440,108.733,25.032,80,79,206,445.025,225.663,443.633,226.171,557.754,388,205,141,48,97.225,31.954,3.609,0.099,143.028,265309,102,1.207,1.101,93.63,265309,388,210,170.34,47.144,3.043,0.329,0.513,79,255
113,Switch_S6TPE_1_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,967,153.698,44.523,80,79,247,764.862,245.547,766.168,244.558,139.681,743,229,43,39,41.48,29.682,27.81,0.623,48.27,148626,152,0.121,-1.002,99.281,148626,749,268,50.042,29.628,1.397,0.716,0.861,79,255
114,Switch_S6TPE_1_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,916,131.392,29.825,109,79,214,220.453,255.37,220.088,254.796,125.054,199,240,44,29,41.927,27.817,1.61,0.736,44.721,120355,129,0.335,-0.547,99.457,120355,199,256,169.695,28.558,1.507,0.663,0.928,79,255
115,Switch_S6TPE_1_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,2754,158.893,39.947,169,79,243,598.7,309.56,597.676,309.703,365.848,528,287,144,44,150.105,23.36,10.341,0.259,146.697,437592,163,-0.177,-0.752,99.746,437592,528,318,11.004,28.284,6.426,0.156,0.795,79,255
116,Switch_S6TPE_1_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,1426,120.25,32.595,105,79,234,1082.093,473.628,1083.92,473.487,233.321,1041,457,77,36,73.905,24.567,167.688,0.329,78.09,171477,112,1.148,0.941,93.02,171477,1041,467,170.417,31.339,3.008,0.332,0.722,79,255
117,Switch_S6TPE_1_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,749,133.573,39.595,110,79,232,696.385,471.504,694.636,472.029,123.782,678,458,42,31,41.523,22.967,28.067,0.614,43.863,100046,122,0.665,-0.616,98.553,100046,680,481,24.228,27.683,1.808,0.553,0.866,79,255
118,Switch_S6TPE_1_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,1225,136.555,41.103,92,79,240,67.156,494.981,64.775,495.283,261.22,40,480,68,31,61.686,25.285,3.416,0.226,68.359,167280,130,0.433,-0.927,98.79,167280,40,505,5.877,31,2.44,0.41,0.748,79,255
119,Switch_S6TPE_1_20x_Pos_R_VTA red: region 009; 01-09; 700-10000,686,104.364,19.29,79,79,159,651.758,506.506,651.942,506.454,278.676,631,489,42,34,37.874,23.062,34.839,0.111,49.82,71594,101,0.644,-0.473,96.213,71594,631,523,38.48,28.552,1.642,0.609,0.674,79,255
120,Switch_S6TPE_1_20x_Pos_R_VTA red: region 010; 01-09; 700-10000,722,134.191,25.091,128,79,197,248.976,513.017,248.577,512.799,111.882,231,495,32,36,35.09,26.198,128.855,0.725,39.395,96886,137,-0.208,-0.58,100,96886,247,495,113.962,28.284,1.339,0.747,0.912,79,255
121,Switch_S6TPE_1_20x_Pos_R_VTA red: region 011; 01-09; 700-10000,1496,124.966,31.698,90,79,210,671.104,621.667,672.232,621.481,291.304,633,602,77,43,78.125,24.381,17.823,0.222,86.313,186949,119,0.444,-0.891,98.486,186949,633,645,26.862,31.772,3.204,0.312,0.725,79,255
122,Switch_S6TPE_1_20x_Pos_R_VTA red: region 012; 01-09; 700-10000,1133,123.082,27.793,128,79,221,904.586,646.026,905.336,645.529,147.196,885,628,39,37,40.044,36.025,29.219,0.657,44.204,139452,119,0.678,0.118,99.125,139452,894,665,52.352,37,1.112,0.9,0.906,79,255
123,Switch_S6TPE_1_20x_Pos_R_VTA red: region 013; 01-09; 700-10000,1144,103.726,20.703,95,79,183,1111.773,667.494,1110.756,666.857,263.505,1088,646,60,42,46.053,31.629,167.954,0.207,61.465,118663,99,1.198,1.047,91.447,118663,1091,655,158.025,40.751,1.456,0.687,0.657,79,255
124,Switch_S6TPE_1_20x_Pos_R_VTA red: region 014; 01-09; 700-10000,769,115.048,29.675,82,79,203,640.032,692.471,642.248,691.784,224.978,607,676,61,35,51.368,19.061,15.766,0.191,63.325,88472,108,0.71,-0.535,95.528,88472,607,707,15.573,27.839,2.695,0.371,0.6,79,255
125,Switch_S6TPE_1_20x_Pos_R_VTA red: region 015; 01-09; 700-10000,823,139.558,44.623,111,79,247,794.419,861.353,796.685,860.358,185.338,763,848,70,29,68.369,15.327,18.378,0.301,73.682,114856,126,0.536,-0.937,99.879,114856,763,877,18.189,17.316,4.461,0.224,0.821,79,255
126,Switch_S6TPE_2_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,900,99.757,26.715,85,65,202,280.589,84.608,280.686,84.742,195.279,252,56,52,53,61.885,18.517,55.582,0.297,67.476,89781,94,1.135,1.168,98.468,89781,252,103,39.588,25.657,3.342,0.299,0.663,64,255
127,Switch_S6TPE_2_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,1283,120.993,45.155,77,65,255,971.76,205.741,976.22,205.378,245.037,925,192,84,26,81.107,20.141,3.092,0.269,84.717,155234,111,1.054,0.458,99.767,155234,925,209,7.461,25.387,4.027,0.248,0.767,64,255
128,Switch_S6TPE_2_20x_Med_R_VTA red: region 001; 01-09; 700-10000,648,97.716,18.659,83,71,154,722.168,222.789,722.507,223.213,140.711,698,211,49,22,44.214,18.66,177.641,0.411,49.649,63320,95,0.588,-0.439,83.184,63320,698,226,9.273,22,2.369,0.422,0.755,71,255
129,Switch_S6TPE_2_20x_Med_R_VTA red: region 002; 01-09; 700-10000,923,97.681,21.116,73,71,156,619.027,379.881,619.247,379.984,270.434,585,358,60,42,45.594,25.775,156.981,0.159,63.906,90160,93,0.87,-0.213,98.191,90160,585,372,159.864,31.78,1.769,0.565,0.673,71,255
130,Switch_S6TPE_2_20x_Med_R_VTA red: region 003; 01-09; 700-10000,857,96.539,23.115,75,71,172,275.752,546.945,275.481,545.399,269.12,252,522,63,49,38.431,28.393,167.95,0.149,63.561,82734,88,1.195,0.733,96.836,82734,253,570,12.724,46.061,1.354,0.739,0.452,71,255
131,Switch_S6TPE_2_20x_Med_R_VTA red: region 004; 01-09; 700-10000,1833,105.907,23.938,87,71,176,158.834,579.342,158.87,580.825,235.463,126,546,67,58,52.76,44.235,146.949,0.415,71.176,194128,102,0.559,-0.577,96.12,194128,127,573,155.956,57.052,1.193,0.838,0.713,71,255
132,Switch_S6TPE_2_20x_Med_R_VTA red: region 005; 01-09; 700-10000,784,152.691,48.558,95,71,255,296.906,822.848,298.407,822.753,118.125,273,809,43,28,41.094,24.291,166.308,0.706,44.272,119710,154,0.055,-1.08,99.873,119710,273,817,161.565,26.436,1.692,0.591,0.915,71,255
133,Switch_S6TPE_3_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,1570,91.424,19.347,65,64,150,1226.548,93.696,1226.374,93.555,325.446,1186,69,76,45,69.007,28.968,21.76,0.186,77.466,143535,88,0.642,-0.234,96.556,143535,1186,103,11.165,37.063,2.382,0.42,0.725,64,255
134,Switch_S6TPE_3_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,1453,87.134,15.393,78,64,144,195.572,174.441,195.593,174.221,265.848,157,151,74,44,64.642,28.619,162.216,0.258,74.061,126605,85,0.639,0.053,94.412,126605,157,171,177.678,35.839,2.259,0.443,0.706,64,255
135,Switch_S6TPE_3_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,2692,105.133,33.81,78,64,249,972.066,226.657,971.989,228.869,335.546,934,190,80,72,84.39,40.616,42.283,0.3,95.525,283018,96,1.425,2.018,99.741,283018,940,257,42.879,55.631,2.078,0.481,0.76,64,255
136,Switch_S6TPE_3_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,729,95.405,23.458,79,64,166,380.728,237.436,379.644,237.322,174.409,351,228,64,19,63.499,14.617,179.043,0.301,64.07,69550,89,0.787,-0.208,99.454,69550,351,237,2.684,19,4.344,0.23,0.693,64,255
137,Switch_S6TPE_3_20x_Ant_R_VTA red: region 005; 01-09; 700-10000,2376,109.729,26.387,98,64,252,226.896,299.339,227.32,299.545,305.706,175,277,105,43,91.8,32.954,7.864,0.319,105.475,260715,107,0.772,1.641,99.623,260715,175,315,5.44,39.872,2.786,0.359,0.751,64,255
138,Switch_S6TPE_3_20x_Ant_R_VTA red: region 006; 01-09; 700-10000,1640,103.448,29.699,77,64,208,909.611,304.537,913.114,302.665,316.96,863,280,93,52,99.419,21.003,25.28,0.205,101.533,169655,98,0.814,0.193,98.974,169655,865,329,27.575,26.55,4.734,0.211,0.766,64,255
139,Switch_S6TPE_3_20x_Ant_R_VTA red: region 007; 01-09; 700-10000,703,84.745,14.073,77,64,132,447.873,366.605,447.91,366.583,181.865,423,349,53,41,40.325,22.197,160.54,0.267,53.6,59576,82,0.625,-0.189,97.639,59576,423,358,171.416,35.82,1.817,0.55,0.566,64,255
140,Switch_S6TPE_3_20x_Ant_R_VTA red: region 008; 01-09; 700-10000,981,87.1,16.189,75,64,134,400.675,405.329,401.139,405.524,272.09,358,384,83,41,77.143,16.191,157.182,0.167,88.023,85445,85,0.668,-0.301,98.1,85445,358,386,158.682,22.752,4.765,0.21,0.612,64,255
141,Switch_S6TPE_3_20x_Ant_R_VTA red: region 009; 01-09; 700-10000,1450,97.721,26.03,78,64,184,197.93,429.067,197.864,428.954,258.049,157,399,77,52,67.057,27.532,15.761,0.274,81.271,141695,92,0.785,-0.225,87.349,141695,157,430,18.658,39.642,2.436,0.411,0.589,64,255
142,Switch_S6TPE_3_20x_Ant_R_VTA red: region 010; 01-09; 700-10000,820,94.921,22.642,68,64,167,731.555,469.039,732.294,469.153,170.167,704,451,52,31,47.661,21.906,6.829,0.356,55.946,77835,92,0.637,-0.322,89.716,77835,705,476,24.274,27.416,2.176,0.46,0.7,64,255
143,Switch_S6TPE_3_20x_Ant_R_VTA red: region 011; 01-09; 700-10000,1455,102.578,25.732,78,64,184,268.561,510.725,269.612,510.863,215.037,227,488,80,41,73.77,25.113,14.444,0.395,83.815,149251,99,0.548,-0.324,80.254,149251,227,526,17.354,31.04,2.938,0.34,0.704,64,255
144,Switch_S6TPE_3_20x_Ant_R_VTA red: region 012; 01-09; 700-10000,866,92.543,20.839,71,64,145,342.367,522.605,341.682,522.731,281.321,313,505,70,35,55.526,19.858,9.823,0.138,71.021,80142,88,0.403,-1.016,89.37,80142,313,535,9.728,30.444,2.796,0.358,0.557,64,255
145,Switch_S6TPE_3_20x_Ant_R_VTA red: region 013; 01-09; 700-10000,1877,114.011,38.674,91,64,254,414.905,599.933,413.327,601.443,345.688,368,547,101,85,102.323,23.356,40.147,0.197,127.562,213998,106,1.196,1.264,95.473,213998,372,631,41.186,34.805,4.381,0.228,0.567,64,255
146,Switch_S6TPE_3_20x_Ant_R_VTA red: region 014; 01-09; 700-10000,3928,122.58,38.187,72,64,220,1265.653,727.504,1267.094,726.887,493.47,1214,694,98,73,92.437,54.105,23.793,0.203,101.553,481496,120,0.304,-0.94,99.493,481496,1219,737,25.051,62.923,1.708,0.585,0.791,64,255
147,Switch_S6TPE_3_20x_Ant_R_VTA red: region 015; 01-09; 700-10000,1551,115.295,41.612,64,64,224,684.456,737.31,684.938,735.738,368.316,644,718,76,48,66.718,29.599,23.672,0.144,89.359,178823,105,0.425,-1.161,98.351,178823,644,766,31.734,36.693,2.254,0.444,0.656,64,255
148,Switch_S6TPE_3_20x_Ant_R_VTA red: region 016; 01-09; 700-10000,807,90.087,18.998,64,64,141,300.812,740.025,300.107,740.558,145.681,283,719,34,38,37.873,27.13,56.547,0.478,45.277,72700,86,0.478,-0.791,94.386,72700,283,752,46.79,31.095,1.396,0.716,0.831,64,255
149,Switch_S6TPE_3_20x_Ant_R_VTA red: region 017; 01-09; 700-10000,2561,104.988,27.448,70,64,187,174.745,757.951,175.172,758.691,434.701,96,726,137,56,112.249,29.049,18.83,0.17,141.651,268873,100,0.489,-0.574,89.452,268873,96,779,14.723,38.895,3.864,0.259,0.608,64,255
150,Switch_S6TPE_3_20x_Ant_R_VTA red: region 018; 01-09; 700-10000,922,90.643,18.369,79,64,176,429.471,782.228,429.975,781.768,175.723,403,768,56,34,55.781,21.045,16.667,0.375,58.523,83573,88,1.094,1.814,99.14,83573,403,793,16.887,25.272,2.651,0.377,0.751,64,255
151,Switch_S6TPE_3_20x_Ant_R_VTA red: region 019; 01-09; 700-10000,1167,124.524,36.994,148,64,216,215.401,893.354,215.656,892.894,198.208,190,876,68,35,54.132,27.449,13.47,0.373,68.884,145319,124,0.19,-0.88,100,145319,190,903,9.189,30.444,1.972,0.507,0.758,64,255
152,Switch_S6TPE_3_20x_Ant_R_VTA red: region 020; 01-09; 700-10000,1520,86.548,15.923,67,64,138,517.004,947.641,517.268,947.396,336.316,476,896,92,82,99.966,19.36,39.485,0.169,118.828,131553,84,0.731,0.004,96.877,131553,482,978,43.636,28.82,5.164,0.194,0.654,64,255
153,Switch_S6TPE_3_20x_Ant_R_VTA red: region 021; 01-09; 700-10000,1113,130.369,46.765,88,64,255,390.258,921.023,390.442,920.607,187.966,362,907,63,32,53.399,26.538,7.832,0.396,63.198,145101,124,0.407,-0.902,98.583,145101,362,913,175.462,31.045,2.012,0.497,0.844,64,255
154,Switch_S6TPE_3_20x_Med_R_VTA red: region 001; 01-09; 700-10000,1257,152.337,44.73,97,83,255,1276.914,103.807,1277.827,103.839,155.924,1258,74,36,56,55.032,29.082,72.518,0.65,56.754,191487,147,0.304,-1.029,99.762,191487,1269,129,75.719,31.739,1.892,0.528,0.894,83,255
155,Switch_S6TPE_3_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1395,135.624,33.847,134,83,230,877.488,123.92,877.413,124.452,195.179,857,98,45,52,47.829,37.136,115.039,0.46,54.424,189196,133,0.46,-0.556,99.147,189196,865,99,110.433,43.675,1.288,0.776,0.791,83,255
156,Switch_S6TPE_3_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1018,117.806,31.264,79,79,198,642.094,156.844,642.844,157.382,270.818,619,124,49,52,44.658,29.024,120.767,0.174,60.141,119926,110,0.728,-0.552,98.931,119926,620,128,132.979,45.242,1.539,0.65,0.539,79,255
157,Switch_S6TPE_3_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,832,138.584,43.089,98,79,244,242.127,281.526,243.583,282.44,134.51,216,268,46,28,42.856,24.718,165.509,0.578,47.802,115302,132,0.445,-0.894,98.93,115302,216,275,164.219,26.369,1.734,0.577,0.904,79,255
158,Switch_S6TPE_3_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,1393,135.229,39.797,81,79,250,282.036,471.712,280.506,470.9,228.291,257,446,59,46,53.576,33.105,164.471,0.336,59.841,188374,128,0.515,-0.773,99.857,188374,257,470,170.38,41.373,1.618,0.618,0.811,79,255
159,Switch_S6TPE_3_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,1595,145.085,45.654,93,79,250,1186.716,479.393,1184.044,478.685,234.25,1152,454,79,50,84.798,23.949,154.117,0.365,89.554,231411,138,0.364,-1.025,98.884,231411,1152,456,150.573,27.96,3.541,0.282,0.839,79,255
160,Switch_S6TPE_3_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,1865,143.445,43.294,95,79,251,1272.741,547.213,1273.428,549.345,251.12,1248,502,49,83,77.57,30.612,112.189,0.372,87.281,267525,138,0.486,-0.652,97.287,267525,1267,502,108.02,38.026,2.534,0.395,0.75,79,255
161,Switch_S6TPE_3_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,823,98.942,13.383,95,79,156,1066.012,650.471,1065.597,650.46,166.894,1047,634,39,35,38.396,27.291,153.749,0.371,45.486,81429,97,0.858,0.919,94.707,81429,1048,637,146.659,31.623,1.407,0.711,0.781,79,255
162,Switch_S6TPE_3_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,791,130.383,33.372,85,79,234,1013.277,711.079,1013.159,710.598,142.51,991,693,43,38,40.8,24.685,130.403,0.489,48.415,103133,128,0.322,-0.891,99.497,103133,993,693,128.29,31.702,1.653,0.605,0.753,79,255
163,Switch_S6TPE_3_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,909,118.718,27.025,116,79,200,697.287,713.947,696.901,713.793,153.095,672,699,54,29,52.59,22.008,163.541,0.487,56.321,107915,116,0.498,-0.505,94.197,107915,672,707,163.496,26.515,2.39,0.418,0.8,79,255
164,Switch_S6TPE_3_20x_Pos_R_VTA red: region 009; 01-09; 700-10000,1180,106.071,19.297,88,79,182,589.138,794.799,588.776,794.522,220.735,555,778,65,38,66.518,22.587,159.759,0.304,72.45,125164,102,0.713,-0.073,96.88,125164,555,781,153.789,26.1,2.945,0.34,0.783,79,255
165,Switch_S6TPE_3_20x_Pos_R_VTA red: region 010; 01-09; 700-10000,1449,136.23,42.831,119,79,244,781.847,936.873,781.486,936.439,273.605,759,895,44,80,71.323,25.867,113.272,0.243,84.504,197397,128,0.808,-0.215,99.519,197397,764,895,110.794,33.836,2.757,0.363,0.681,79,255
166,Ctrl_S6TPE_4_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,726,88.715,19.494,74,65,153,713.84,106.295,714.954,107.325,242.09,680,79,62,58,53.98,17.124,142.183,0.156,74.061,64407,84,1.056,0.469,99.18,64407,680,95,145.452,27.954,3.152,0.317,0.478,65,255
167,Ctrl_S6TPE_4_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,5319,153.689,57.672,67,65,255,600.367,215.024,602.629,215.705,571.796,507,147,157,124,121.936,55.54,142.477,0.204,182.989,817472,155,-0.011,-1.403,90.83,817472,507,149,149.09,88.589,2.195,0.455,0.567,65,255
168,Ctrl_S6TPE_4_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,1858,119.017,31.896,114,65,206,43.984,828.964,43.197,828.164,201.137,15,801,62,55,59.071,40.048,135.177,0.577,69.203,221133,115,0.302,-0.803,100,221133,33,801,127.367,47.485,1.475,0.678,0.862,65,255
169,Ctrl_S6TPE_4_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,1645,112.492,36.503,65,65,227,874.645,862.962,876.161,862.896,209.037,842,843,67,42,63.188,33.147,170,0.473,68.964,185050,105,0.819,-0.039,83.249,185050,843,849,163.142,40.462,1.906,0.525,0.742,65,255
170,Ctrl_S6TPE_4_20x_Ant_R_VTA red: region 005; 01-09; 700-10000,3227,130.769,46.366,85,65,251,674.878,890.994,673.879,891.438,286.392,627,848,88,69,75.7,54.277,12.646,0.494,88.278,421992,123,0.589,-0.553,97.492,421992,627,903,4.548,66.575,1.395,0.717,0.776,65,255
171,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 001; 01-09; 700-10000,910,126.404,41.062,116,67,255,171.822,43.814,170.005,43.9,158.752,146,26,46,41,41.179,28.137,176.012,0.454,47.802,115028,118,0.619,-0.353,100,115028,146,52,164.219,36.95,1.464,0.683,0.714,67,255
172,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1253,126.674,33.793,130,67,214,325.032,221.727,324.204,221.366,162.51,294,208,61,29,61.879,25.782,177.312,0.596,61.294,158722,128,0.05,-0.924,99.682,158722,294,224,5.618,28.576,2.4,0.417,0.865,67,255
173,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 003; 01-09; 700-10000,2129,103.415,27.841,89,67,198,856.549,405.391,859.085,407.306,378.558,799,374,97,65,97.618,27.769,149.097,0.187,106.513,220171,97,0.827,-0.126,94.079,220171,799,385,155.601,33.246,3.515,0.284,0.708,67,255
174,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 004; 01-09; 700-10000,894,128.43,43.863,70,67,229,1024.549,684.263,1024.282,684.328,141.095,1009,665,35,37,35.243,32.298,119.248,0.564,37.802,114816,123,0.423,-0.926,98.026,114816,1011,671,142.524,35,1.091,0.916,0.896,67,255
175,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 005; 01-09; 700-10000,780,96.56,21.293,77,67,153,1268.735,724.449,1268.656,723.859,228.149,1242,709,54,35,49.271,20.156,159.485,0.188,57.585,75317,92,0.501,-0.86,98.609,75317,1242,717,159.677,27.978,2.444,0.409,0.618,67,255
176,Ctrl_S6TPE_4_20x_Med_R_VTA red: region 006; 01-09; 700-10000,1479,114.781,38.331,85,67,243,86.885,909.499,85.061,909.763,192.409,55,890,67,34,62.541,30.11,172.802,0.502,68.447,169761,105,0.992,0.291,94.264,169761,55,904,168.198,33.929,2.077,0.481,0.862,67,255
177,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1273,88.016,20.945,69,53,144,838.092,140.013,838.1,140.264,272.434,805,100,65,70,81.906,19.789,132.329,0.216,88.617,112044,86,0.231,-0.818,98.301,112044,805,102,130.882,27.275,4.139,0.242,0.674,53,255
178,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,1001,85.723,23.492,83,53,185,1299.846,119.389,1301.375,119.646,160.368,1265,107,68,24,66.191,19.255,170.238,0.489,69.635,85809,82,1.144,1.498,97.563,85809,1265,115,167.56,21.769,3.438,0.291,0.892,53,255
179,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,4305,104.073,37.416,86,53,236,1200.595,332.835,1198.969,330.469,563.737,1136,269,127,127,142.655,38.423,138.103,0.17,161.075,448033,95,0.863,0.088,98.603,448033,1152,269,130.215,55.561,3.713,0.269,0.595,53,255
180,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,722,91.145,23.548,115,53,145,396.012,541.424,396.484,541.401,126.267,374,526,44,30,48.854,18.817,150.265,0.569,50.12,65807,90,0.191,-1.028,99.862,65807,374,530,151.39,20.3,2.596,0.385,0.911,53,255
181,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,2114,93.733,33.423,57,53,198,638.632,595.819,638.608,596.697,313.747,604,562,91,74,80.804,33.311,135.742,0.27,114.337,198152,83,0.856,-0.113,92.234,198152,607,563,140.323,47.376,2.426,0.412,0.638,53,255
182,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,980,74.945,14.501,64,53,137,1311.672,776.486,1311.515,776.664,160.995,1280,758,61,36,62.206,20.059,154.822,0.475,63.6,73446,73,0.758,0.542,93.067,73446,1280,766,163.56,24.293,3.101,0.322,0.811,53,255
183,Ctrl_S6TPE_4_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,931,82.66,22.952,53,53,141,836.474,795.537,835.111,793.855,281.161,813,775,49,52,43.296,27.378,136.85,0.148,57.428,76956,78,0.517,-0.855,98.31,76956,819,780,125.074,39.26,1.581,0.632,0.558,53,255
184,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,966,115.18,49.214,90,54,255,412.844,23.285,413.375,24.98,209.037,394,2,41,45,42.617,28.861,118.537,0.278,45.891,111264,99,0.872,-0.237,99.69,111264,406,2,101.31,34.707,1.477,0.677,0.752,54,255
185,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,1256,88.083,23.642,90,54,164,486.643,439.576,487.208,440.643,148.752,461,420,48,41,48.062,33.274,149.747,0.713,51.624,110632,85,0.864,0.419,96.024,110632,461,431,158.405,36.77,1.444,0.692,0.896,54,255
186,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,956,95.947,28.225,67,54,180,665.953,448.108,664.345,447.637,142.024,643,430,49,37,55.711,21.849,146.142,0.596,59.405,91725,93,0.546,-0.456,98.455,91725,643,431,143.902,24.697,2.55,0.392,0.905,54,255
187,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,803,121.386,40.901,113,54,230,232.104,476.104,232.273,476.828,125.296,211,461,42,30,38.012,26.897,5.304,0.643,43.174,97473,119,0.348,-0.579,100,97473,211,470,166.608,29.515,1.413,0.708,0.875,54,255
188,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 005; 01-09; 700-10000,1210,80.101,18.673,63,54,140,871.511,567.167,871.536,567.124,259.848,831,548,75,41,70.308,21.913,163.108,0.225,76.295,96922,77,0.614,-0.568,97.976,96922,831,557,169.426,32.214,3.209,0.312,0.661,54,255
189,Ctrl_S6TPE_5_20x_Ant_R_VTA red: region 006; 01-09; 700-10000,1201,109.236,41.462,68,54,227,313.981,690.859,314.543,691.134,207.966,275,672,72,36,66.992,22.826,159.513,0.349,75.584,131192,99,0.698,-0.464,94.27,131192,275,677,162.284,29.124,2.935,0.341,0.748,54,255
