 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
42,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,1911,120.332,42.888,115,50,246,48.138,76.128,48.429,75.064,233.179,24,33,62,68,60.227,40.4,127.896,0.442,75.073,229954,113,0.704,-0.04,99.948,229954,28,33,138.24,53.23,1.491,0.671,0.726,50,255
43,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,1343,95.93,26.708,80,50,178,664.374,125.8,663.135,125.074,148.024,639,108,51,36,50.19,34.07,12.823,0.77,54.781,128834,91,0.547,-0.483,99.777,128834,639,139,21.413,35.653,1.473,0.679,0.938,50,255
44,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,969,87.497,21.226,88,50,162,50.754,208.184,52.169,208.013,139.296,32,193,43,40,43.754,28.198,27.761,0.628,49.578,84785,86,0.564,0.236,99.487,84785,38,232,41.73,33.631,1.552,0.644,0.826,50,255
45,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,849,76.971,20.072,56,50,147,1154.745,340.495,1155.021,340.007,238.735,1124,327,56,30,48.458,22.308,173.043,0.187,56.321,65348,74,0.9,0.433,97.474,65348,1124,339,173.884,27.747,2.172,0.46,0.739,50,255
46,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,792,71.76,14.619,69,50,112,961.715,349.239,961.312,349.692,194.693,938,332,49,29,45.545,22.141,171.826,0.263,49.163,56834,70,0.444,-0.665,98.385,56834,938,348,4.667,29,2.057,0.486,0.724,50,255
47,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,808,71.276,16.914,59,50,123,724.416,492.28,723.95,493.554,211.522,704,463,39,46,43.791,23.493,51.278,0.227,53.814,57591,67,0.804,-0.196,94.503,57591,705,505,48.013,28.968,1.864,0.536,0.694,50,255
48,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,1062,78.582,19.49,66,50,150,1088.741,557.009,1090.199,557.397,251.12,1057,536,58,40,49.074,27.554,19.909,0.212,58.31,83454,76,0.723,0.25,99.812,83454,1057,557,5.906,37.219,1.781,0.561,0.658,50,255
49,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 009; 01-09; 700-10000,1217,97.534,32.316,64,50,183,766.337,556.39,766.689,555.186,211.765,743,538,49,42,51.379,30.159,155.205,0.341,57.454,118699,94,0.492,-0.692,99.428,118699,743,544,148.523,36.224,1.704,0.587,0.789,50,255
50,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 010; 01-09; 700-10000,1834,116.91,46.477,110,50,255,991.164,589.507,994.18,589.838,216.492,948,565,70,49,61.761,37.809,162.745,0.492,76.968,214413,112,0.785,0.17,99.946,214413,948,573,155.433,45.094,1.634,0.612,0.783,50,255
51,Ctrl_S6TPE_11_20x_Pos_R_VTA red: region 011; 01-09; 700-10000,1938,98.643,36.251,60,50,215,854.96,608.799,855.069,609.839,253.505,823,585,63,57,56.949,43.329,22.534,0.379,63.789,191170,92,0.703,-0.268,98.676,191170,823,610,9.019,46.205,1.314,0.761,0.829,50,255
52,Ctrl_S6TPE_12_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,3638,148.646,50.083,89,78,255,1034.235,412.174,1031.687,413.394,446.642,966,368,141,79,133.747,34.633,28.626,0.229,160.655,540773,138,0.399,-1.092,98.457,540773,966,447,28.639,46.15,3.862,0.259,0.769,78,255
53,Ctrl_S6TPE_12_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,2148,121.138,28.622,85,78,202,1281.114,872.283,1281.915,871.394,342.274,1249,840,59,77,68.035,40.199,62.37,0.23,82.765,260205,118,0.368,-0.829,98.804,260205,1265,916,64.983,50.457,1.692,0.591,0.684,78,255
54,Ctrl_S6TPE_12_20x_Med_R_VTA red: region 001; 01-09; 700-10000,909,87.329,13.159,75,70,131,783.456,72.771,784.09,72.494,340.818,749,53,64,37,52.12,22.206,3.635,0.098,64.382,79382,84,0.931,0.29,93.615,79382,749,67,6.242,36.204,2.347,0.426,0.518,70,255
55,Ctrl_S6TPE_12_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1257,101.867,23.695,73,70,175,372.515,415.636,373.391,416.323,238.392,340,392,57,41,50.245,31.853,2.396,0.278,58.694,128047,98,0.643,-0.467,96.916,128047,340,409,166.201,39.615,1.577,0.634,0.741,70,255
56,Ctrl_S6TPE_12_20x_Med_R_VTA red: region 003; 01-09; 700-10000,1484,117.823,40.517,77,70,250,404.704,472.645,407.47,471.837,199.865,370,453,65,41,54.957,34.381,3.838,0.467,66.287,174850,105,1.017,0.333,88.65,174850,370,465,168.69,41,1.598,0.626,0.767,70,255
57,Ctrl_S6TPE_12_20x_Med_R_VTA red: region 004; 01-09; 700-10000,2415,140.771,42.846,125,70,255,1049.163,519.185,1050.29,519.888,243.38,1002,496,83,51,81.986,37.505,164.506,0.512,86.608,339961,137,0.5,-0.438,99.835,339961,1005,499,148.696,45.217,2.186,0.457,0.859,70,255
58,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,3917,162.004,47.105,193,78,255,542.251,131.216,536.469,130.333,440.233,476,104,175,48,155.27,32.12,170.548,0.254,177.553,634571,166,-0.099,-1.161,99.974,634571,476,113,170.272,41.94,4.834,0.207,0.691,77,255
59,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 002; 01-09; 700-10000,2358,149.284,37.175,139,78,246,841.886,259.513,841.569,259.475,261.806,786,233,99,57,90.873,33.038,158.598,0.432,104.043,352011,149,0.018,-0.797,99.873,352011,786,233,162.087,40.037,2.751,0.364,0.866,77,255
60,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 003; 01-09; 700-10000,1508,112.542,25.502,91,78,204,940.224,337.574,940.591,337.119,350.032,917,282,55,91,74.358,25.822,117.569,0.155,103.354,169713,109,0.662,-0.114,93.723,169713,919,282,118.301,37.667,2.88,0.347,0.582,77,255
61,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 004; 01-09; 700-10000,1058,118.61,31.67,84,78,209,1120.95,354.272,1119.441,353.389,183.966,1098,337,51,34,50.7,26.57,160.047,0.393,53.16,125489,110,0.582,-0.734,96.798,125489,1098,345,163.61,32.128,1.908,0.524,0.817,77,255
62,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 005; 01-09; 700-10000,760,98.253,15.676,90,78,149,1184.282,604.726,1184.058,604.489,216.735,1160,588,52,34,44.215,21.885,168.589,0.203,52.345,74672,95,0.82,0.008,93.366,74672,1160,597,173.418,30.619,2.02,0.495,0.634,77,255
63,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 006; 01-09; 700-10000,859,133.858,32.027,148,78,220,619.729,637.528,619.594,637.13,115.882,601,622,39,30,39.79,27.487,158.23,0.804,41.231,114984,134,0.277,-0.628,99.192,114984,602,626,157.166,28.377,1.448,0.691,0.941,77,255
64,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 007; 01-09; 700-10000,845,98.073,15.118,78,78,135,1157.933,723.351,1157.609,722.361,240.049,1142,699,34,60,50.205,21.43,106.663,0.184,62.097,82872,95,0.528,-0.825,91.45,82872,1154,699,104.931,28.095,2.343,0.427,0.664,77,255
65,Ctrl_S6TPE_12_20x_Pos_R_VTA red: region 008; 01-09; 700-10000,1561,155.004,48.898,248,78,251,503.808,916.953,505.878,916.79,262.35,463,899,79,34,71.51,27.794,178.286,0.285,79.511,241961,153,0.218,-0.985,99.554,241961,463,926,6.499,30.441,2.573,0.389,0.824,77,255
66,Switch_S6TPE_1_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,719,110.499,15.501,97,85,151,1128.252,599.334,1128.21,599.341,179.723,1100,583,56,30,50.308,18.197,21.783,0.28,58.241,79449,110,0.269,-0.767,98.358,79449,1100,605,15.945,23.596,2.765,0.362,0.757,85,255
67,Switch_S6TPE_1_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,1510,172.793,45.877,189,85,255,1297.684,725.031,1297.57,724.718,177.137,1274,698,49,50,46.511,41.336,30.699,0.605,52.773,260917,180,-0.248,-0.98,99.868,260917,1276,739,27.051,43.06,1.125,0.889,0.874,85,255
68,Switch_S6TPE_1_20x_Med_R_VTA red: region 001; 01-09; 700-10000,800,114.181,23.521,93,76,177,913.704,68.922,914.143,68.941,165.48,889,46,40,43,43.944,23.179,62.104,0.367,49.679,91345,113,0.216,-0.903,99.256,91345,889,82,40.101,30.775,1.896,0.527,0.679,76,255
69,Switch_S6TPE_1_20x_Med_R_VTA red: region 002; 01-09; 700-10000,977,130.026,38.117,79,76,222,1135.64,138.482,1137.021,138.129,254.291,1104,123,66,36,63.02,19.739,18.908,0.19,72.897,127035,127,0.31,-0.97,98.987,127035,1105,159,26.917,28.418,3.193,0.313,0.651,76,255
70,Switch_S6TPE_1_20x_Med_R_VTA red: region 003; 01-09; 700-10000,841,99.547,20.032,80,76,174,255.542,180.097,256.298,180.074,216.492,222,166,66,27,51.876,20.641,4.018,0.225,66.611,83719,93,1.15,0.734,93.757,83719,222,191,7.765,26.03,2.513,0.398,0.671,76,255
71,Switch_S6TPE_1_20x_Med_R_VTA red: region 004; 01-09; 700-10000,1541,145.152,45.68,100,76,231,635.256,209.813,631.726,209.606,312.392,600,195,105,39,79.262,24.754,10.051,0.198,105.475,223680,148,0.077,-1.302,98.592,223680,600,206,5.44,37.477,3.202,0.312,0.637,76,255
72,Switch_S6TPE_1_20x_Med_R_VTA red: region 005; 01-09; 700-10000,1294,141.051,43,88,76,235,413.585,244.451,411.288,244.61,264.735,372,225,93,40,91.305,18.045,15.553,0.232,97.417,182520,137,0.337,-0.958,99.769,182520,372,258,17.319,24.86,5.06,0.198,0.626,76,255
